"lat"	"long"	"name"	"url"	"user"	"id"	"price"	"stars"	"reviews"	"accommodates"	"bathrooms"	"bedrooms"	"beds"	"propType"	"roomType"	"filename"	"city"	"lat.z"	"long.z"	"lat.az"	"long.az"	"propType.t"	"multi"
41.949306470329	-87.6529221958011	"Clean, Safe & Vintage Apartment"	"/rooms/11939326?s=xca10LEo"	30740501	11939326	30	5	4	2	1	1	2	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.93808820682046	0.285174558672765	0.93808820682046	0.285174558672765	"Apartment"	0
41.9086616201953	-87.6665523078779	"Guestroom on Greenview"	"/rooms/9845510?s=xca10LEo"	18425387	9845510	49	5	14	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.0406237243011817	-0.107897988693661	0.0406237243011817	0.107897988693661	"Apartment"	0
41.8941615719736	-87.6364819750465	"Heart of Chicago - Private Studio"	"/rooms/11605484?s=xca10LEo"	8451195	11605484	75	5	6	2	1	0	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.279546684274379	0.759286540648265	0.279546684274379	0.759286540648265	"Apartment"	0
41.9314623356475	-87.6585539372517	"Lincoln Park Master Suite for 2"	"/rooms/81852?s=xca10LEo"	425120	81852	90	5	75	2	1	1	1	"House"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.544078214281279	0.122763351367669	0.544078214281279	0.122763351367669	"House"	0
41.8722301855029	-87.6282732655878	"Heart of city by Lake&Redline train"	"/rooms/12309304?s=xca10LEo"	53198239	12309304	79	0	1	1	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.763805830146777	0.996013745776295	0.763805830146777	0.996013745776295	"Apartment"	0
41.8854339858836	-87.6303327582961	"Modern + Great Downtown Location"	"/rooms/3281973?s=xca10LEo"	11340569	3281973	149	5	66	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.47225740920353	0.936620980656114	0.47225740920353	0.936620980656114	"Apartment"	0
41.7991421593624	-87.5907891627809	"Right in the Heart of HydePark"	"/rooms/8824621?s=xca10LEo"	15907453	8824621	45	4.5	26	2	1	1	1	"Condominium"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-2.37763654529964	2.07700058528553	2.37763654529964	2.07700058528553	"Other"	0
41.8594682123935	-87.6238716194187	"South Loop Private Bedroom"	"/rooms/11048027?s=xca10LEo"	23368002	11048027	70	5	5	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-1.04559842022589	1.12295079974515	1.04559842022589	1.12295079974515	"Apartment"	0
41.8729821584062	-87.628891000094	"Great location! City Condo"	"/rooms/5678899?s=xca10LEo"	20977213	5678899	89	5	38	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.74720178387005	0.978199183828246	0.74720178387005	0.978199183828246	"Apartment"	0
41.877983352549	-87.6447326974015	"Luxury Studio in Heart of Chicago"	"/rooms/1445296?s=xca10LEo"	7748713	1445296	103	5	4	2	1	0	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.636772194424346	0.521347744883385	0.636772194424346	0.521347744883385	"Apartment"	0
41.9444042582911	-87.7302013261853	"New Luxury Master Bedroom and Bath"	"/rooms/6003054?s=bvORlYS3"	11156544	6003054	90	5	56	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.829844206035119	-1.94344281932299	0.829844206035119	1.94344281932299	"Apartment"	0
41.8779237328941	-87.6251355073374	"WOW! Dreamy Room in Downtown!!!"	"/rooms/257601?s=bvORlYS3"	1291732	257601	46	5	245	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.638088634823601	1.08650211605171	0.638088634823601	1.08650211605171	"Apartment"	0
41.893016352739	-87.6270544355757	"Private 1BDBA Apt Downtown HighRise"	"/rooms/12085370?s=bvORlYS3"	33224354	12085370	169	0	0	4	1	1	2	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.30483386295438	1.03116302517771	0.30483386295438	1.03116302517771	"Apartment"	0
41.8814465041505	-87.6959574422104	"Quiet Room with comfy bed 2"	"/rooms/12243016?s=bvORlYS3"	12877384	12243016	33	0	2	1	1.5	1	1	"House"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.560303575406106	-0.955899163783534	0.560303575406106	0.955899163783534	"House"	0
41.8585002068568	-87.6692095076685	"Vintage Storefront on 18th Street"	"/rooms/6133578?s=bvORlYS3"	25414310	6133578	70	5	47	2	1	1	1	"House"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-1.06697260625958	-0.184527754074135	1.06697260625958	0.184527754074135	"House"	0
41.9271234144575	-87.6513682080846	"Master BR in Heart of Lincoln Park"	"/rooms/11731032?s=bvORlYS3"	62395303	11731032	55	0	2	3	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.448272038402395	0.329989297308493	0.448272038402395	0.329989297308493	"Apartment"	0
41.8660164325484	-87.6247612579922	"Michigan avenue south loop"	"/rooms/9090834?s=S9QOsOte"	47400771	9090834	80	0	2	1	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.901009499528521	1.09729492117605	0.901009499528521	1.09729492117605	"Apartment"	0
41.8892393983779	-87.6303160349975	"Shared Artist Loft Own Private Room"	"/rooms/10069247?s=S9QOsOte"	51668477	10069247	100	4.5	17	2	1	1	1	"Loft"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.388231449119117	0.937103256190173	0.388231449119117	0.937103256190173	"Other"	0
41.9631686804998	-87.6768140393958	"Vintage Studio in Ravenswood"	"/rooms/9311060?s=S9QOsOte"	48331714	9311060	78	5	18	2	1	0	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	1.24417474020877	-0.403831354861503	1.24417474020877	0.403831354861503	"Apartment"	0
41.8878210145335	-87.6179841810704	"Chicago loop  1-bedroom w/ balcony"	"/rooms/12212111?s=S9QOsOte"	65684071	12212111	130	0	0	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.419550278410979	1.29273593254439	0.419550278410979	1.29273593254439	"Apartment"	0
41.8920170965183	-87.6549748771938	"Sunny Apartment in West Town"	"/rooms/5918056?s=S9QOsOte"	1483973	5918056	100	5	19	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.326898084228662	0.225978221957903	0.326898084228662	0.225978221957903	"Apartment"	0
41.8856314020699	-87.6157708040988	"Downtown High Rise -Millennium Park"	"/rooms/7900211?s=S9QOsOte"	41655568	7900211	99	4.5	17	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.467898332594996	1.3565664953164	0.467898332594996	1.3565664953164	"Apartment"	0
41.8999495097566	-87.6874326314111	"Amazing Location in Trendy Area"	"/rooms/88596?s=S9QOsOte"	41208	88596	35	5	22	1	2	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.151745288274844	-0.710056057151826	0.151745288274844	0.710056057151826	"Apartment"	0
41.8888770663236	-87.6281753723129	"Modern 1 Bedroom with Wi-Fi"	"/rooms/2017387?s=S9QOsOte"	10173803	2017387	130	4.5	28	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.396231974365098	0.998836845008153	0.396231974365098	0.998836845008153	"Apartment"	0
41.9376634281052	-87.6566690557771	"Lakeview Garden Apartment"	"/rooms/8292620?s=S9QOsOte"	43723052	8292620	55	4.5	9	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.681002331735241	0.177120583247232	0.681002331735241	0.177120583247232	"Apartment"	0
41.9884449470621	-87.6537823051726	"Gorgeous View-Train,Bus:20minLoop"	"/rooms/8253039?s=S9QOsOte"	30769717	8253039	48	4.5	11	2	2	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	1.80229099394663	0.260370259209567	1.80229099394663	0.260370259209567	"Apartment"	0
41.9336121894022	-87.7197664634286	"Futon in Avondale 3-Flat"	"/rooms/131096?s=S9QOsOte"	645234	131096	28	4.5	21	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.591548370552064	-1.6425166008089	0.591548370552064	1.6425166008089	"Apartment"	0
42.0019908798815	-87.6672298910744	"Luxury 1 bed 1 bath. Private"	"/rooms/6103482?s=S9QOsOte"	8206596	6103482	60	5	11	4	1	1	1	"House"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	2.10139391960665	-0.127438499556856	2.10139391960665	0.127438499556856	"House"	0
41.95949427533	-87.6980434166787	"Chicago River Walk"	"/rooms/9596278?s=S9QOsOte"	49666956	9596278	35	4.5	9	1	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	1.16304150627063	-1.01605562422762	1.16304150627063	1.01605562422762	"Apartment"	0
41.8648148244911	-87.8325982129627	"5MIN WALK TO LOYOLA. Brookfield Zoo"	"/rooms/3924677?s=S9QOsOte"	11910936	3924677	44	5	6	2	1.5	1	1	"House"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.927541779750713	-4.89641964748145	0.927541779750713	4.89641964748145	"House"	0
41.762509215606	-87.5835573496715	"Spacious House Near the Lake"	"/rooms/11140811?s=L-wz6J1W"	57897834	11140811	27	0	2	1	3	1	7	"House"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-3.1865155497331	2.28555552489081	3.1865155497331	2.28555552489081	"House"	0
41.937614099959	-87.6422057905981	"Bright & spacious 1 BD in Lakeview"	"/rooms/4547741?s=L-wz6J1W"	19155916	4547741	75	5	8	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.679913134479964	0.594220050596809	0.679913134479964	0.594220050596809	"Apartment"	0
41.8916423807664	-87.6738364133852	"Private room by downtown-Orange"	"/rooms/220660?s=L-wz6J1W"	1019096	220660	45	5	126	1	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.335172049497748	-0.31796096476546	0.335172049497748	0.31796096476546	"Apartment"	1
41.8365553429087	-87.6359136862718	"Bridgeport Beauty! Great Location!"	"/rooms/11698006?s=L-wz6J1W"	29593618	11698006	50	5	3	2	1	1	1	"House"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-1.55152934351792	0.775675159835505	1.55152934351792	0.775675159835505	"House"	0
41.9400650558448	-87.6386775730331	"Condo on the Lake with Indoor Pool"	"/rooms/10074228?s=L-wz6J1W"	3382417	10074228	75	0	1	3	1	1	1	"Condominium"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.734031819835928	0.695968697865449	0.734031819835928	0.695968697865449	"Other"	0
41.9034149569516	-87.6287688946848	"Private Cute Studio in Gold Coast"	"/rooms/11670661?s=L-wz6J1W"	1840073	11670661	115	5	4	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.0752259810729162	0.981720525690491	0.0752259810729162	0.981720525690491	"Apartment"	0
41.8998439603777	-87.6764016183993	"Ukrainian Village Apartment"	"/rooms/2227179?s=L-wz6J1W"	11365636	2227179	100	5	24	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.154075886577066	-0.391937735002245	0.154075886577066	0.391937735002245	"Apartment"	0
41.9542171674707	-87.7352173302457	"Steps to train! Super convenient!"	"/rooms/7430730?s=L-wz6J1W"	25996981	7430730	41	4.5	32	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	1.04651956416563	-2.08809705859234	1.04651956416563	2.08809705859234	"Apartment"	0
41.7977403312039	-87.589607403163	"Bright Private Hyde Park Room"	"/rooms/3578251?s=L-wz6J1W"	13096932	3578251	51	4.5	35	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-2.40858981437826	2.11108080860011	2.40858981437826	2.11108080860011	"Apartment"	0
41.8976566320853	-87.6182344261843	"Lakefront Studio. Great location!"	"/rooms/10686798?s=L-wz6J1W"	22663074	10686798	95	0	0	2	1	0	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.202373504789013	1.28551922854123	0.202373504789013	1.28551922854123	"Apartment"	0
41.9215209050946	-87.7212494713934	"Made with Love! Near downtown!"	"/rooms/7752313?s=L-wz6J1W"	37380887	7752313	40	4.5	12	1	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.324565021409084	-1.68528438695822	0.324565021409084	1.68528438695822	"Apartment"	0
41.9120026661299	-87.6776005014055	"The Perfect Wicker Park Studio"	"/rooms/3944822?s=L-wz6J1W"	16396473	3944822	90	5	96	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.114396171509215	-0.426511771854243	0.114396171509215	0.426511771854243	"Apartment"	0
41.8725951405355	-87.686484051811	"Private Basement in Tri-Taylor Home"	"/rooms/10709981?s=L-wz6J1W"	38117321	10709981	75	5	14	4	1	1	2	"House"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.755747387849676	-0.682700405364621	0.755747387849676	0.682700405364621	"House"	0
41.8641801478185	-87.6227306124235	"Private Bed in Luxury Apartment"	"/rooms/11730749?s=L-wz6J1W"	52870899	11730749	102	5	4	2	1	1	1	"Condominium"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.941555849667704	1.15585577687507	0.941555849667704	1.15585577687507	"Other"	0
41.9183235936148	-87.6809956762728	"Perfectly Located BUCKTOWN Apt!"	"/rooms/7367489?s=L-wz6J1W"	36635122	7367489	109	5	42	3	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.253966323585502	-0.52442366181727	0.253966323585502	0.52442366181727	"Apartment"	0
41.9084289059366	-87.6267439007046	"Lake front studio in the Gold Coast"	"/rooms/11495142?s=L-wz6J1W"	2556865	11495142	74	5	4	2	1	0	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.0354852435078553	1.040118397822	0.0354852435078553	1.040118397822	"Apartment"	0
41.8344677827318	-87.6168902402133	"Private Room"	"/rooms/12323552?s=L-wz6J1W"	66489334	12323552	30	0	0	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-1.59762401744905	1.32428359091631	1.59762401744905	1.32428359091631	"Apartment"	0
41.8968798737017	-87.6386739263303	"Loft Apartment in heart of Chicago"	"/rooms/8031705?s=MX-0GO4V"	28823427	8031705	67	5	17	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.219524830442528	0.696073863454273	0.219524830442528	0.696073863454273	"Apartment"	0
41.9463650835022	-87.6545084750426	"Wrigleyville 1 Bdrm"	"/rooms/4783220?s=MX-0GO4V"	24660902	4783220	50	4.5	47	4	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.873140490253217	0.239428579565565	0.873140490253217	0.239428579565565	"Apartment"	0
41.9336162631253	-87.7225192252334	"The Attic on Avers near Blue Line"	"/rooms/7623005?s=MX-0GO4V"	3778566	7623005	64	5	25	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.591638320983324	-1.72190223526363	0.591638320983324	1.72190223526363	"Apartment"	0
41.9184694830526	-87.7062245180029	"Logan Sq Priv Bed&Bath: Walk to L!"	"/rooms/11018447?s=MX-0GO4V"	13075934	11018447	60	5	3	2	1	1	1	"House"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.257187656383288	-1.25198665103404	0.257187656383288	1.25198665103404	"House"	0
41.9074110900855	-87.6253515538479	"Beautiful 1bd in Gold Coast!"	"/rooms/12129755?s=MX-0GO4V"	964764	12129755	140	0	0	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.0130112136343938	1.08027164987841	0.0130112136343938	1.08027164987841	"Apartment"	0
41.9536452954448	-87.6709692335588	"1st Floor of Townhouse: Yours!"	"/rooms/11374910?s=MX-0GO4V"	11122067	11374910	50	5	4	2	1	1	1	"Townhouse"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	1.03389226131904	-0.235275681491587	1.03389226131904	0.235275681491587	"Other"	0
41.9047541736454	-87.6880970887794	"Simple Room & Easy-Going Host!"	"/rooms/7827250?s=MX-0GO4V"	40638738	7827250	46	4.5	18	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.045655213481713	-0.729218038278851	0.045655213481713	0.729218038278851	"Apartment"	0
41.8650070051771	-87.6278865807716	"Condo with lakeview in South Loop"	"/rooms/5792779?s=MX-0GO4V"	20375272	5792779	140	4.5	26	4	1	1	2	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.923298306362484	1.00716517174199	0.923298306362484	1.00716517174199	"Apartment"	0
41.916310166206	-87.6870928619349	"Luxury Bucktown 2 Bedroom Apartment"	"/rooms/11555749?s=MX-0GO4V"	61022660	11555749	100	0	0	5	2	2	2	"Condominium"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	0.20950854894534	-0.700257601146897	0.20950854894534	0.700257601146897	"Other"	0
41.8022811855322	-87.5851305693876	"Private & Cozy Bedroom in Hyde Park"	"/rooms/7173291?s=MX-0GO4V"	10640361	7173291	65	5	31	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-2.30832482467988	2.24018616344366	2.30832482467988	2.24018616344366	"Apartment"	0
41.8828590570063	-87.6601605931224	"1 Bedroom in heart of West Loop"	"/rooms/7204337?s=MX-0GO4V"	11541034	7204337	195	5	3	2	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.529113498100151	0.0764297400018968	0.529113498100151	0.0764297400018968	"Apartment"	0
41.9649208794814	-87.6584805770636	"Cozy Apt in Entertainment District"	"/rooms/12271759?s=exSx3Ful"	12371141	12271759	55	0	0	3	1	1	2	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	1.28286442284061	0.124878952167425	1.28286442284061	0.124878952167425	"Apartment"	0
41.8987649254241	-87.6691744628501	"Spacious Apartment in West Town"	"/rooms/8208892?s=exSx3Ful"	13228016	8208892	50	5	22	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.177901673683322	-0.18351711263815	0.177901673683322	0.18351711263815	"Apartment"	0
41.9052207466721	-87.6944417906495	"Renovated Victorian Beauty"	"/rooms/8181598?s=exSx3Ful"	24341986	8181598	60	5	20	2	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"	"Chicago"	-0.0353529803922376	-0.912189983946741	0.0353529803922376	0.912189983946741	"Apartment"	0
